Iteration,QD-Score,Coverage,Maximum,Average
1,-6991.149659112498,0.011245314452311536,-39.66244133436121,-258.93146885601845
2,-5648.791325422429,0.012078300708038317,-21.161234941217117,-194.7859077731872
3,-5052.365742341953,0.013327780091628489,12.830261258874089,-157.88642944818602
4,-5054.3633353727755,0.01582673885880883,20.268853283673526,-133.0095614571783
5,-4918.262537614489,0.018325697625989172,44.8880319849588,-111.77869403669293
6,-4647.265264818852,0.019158683881715953,65.91100014895201,-101.02750575693157
7,-4509.846772988973,0.019575177009579343,78.34742284390377,-95.95418665933984
8,-4332.140104563702,0.019991670137442734,125.21550909496727,-90.25291884507713
9,-4091.8245939157255,0.02082465639316951,155.04738134499058,-81.8364918783145
10,-3650.0942244699654,0.0212411495210329,204.69991138909828,-71.57047498960716
11,-3383.691714112,0.0212411495210329,305.52698447839356,-66.34689635513726
12,-3288.3256497820544,0.0212411495210329,305.52698447839356,-64.47697352513832
13,-3106.3364529274545,0.0212411495210329,388.55054746625535,-60.90855790053833
14,-2972.0945682038723,0.0212411495210329,421.08767205826007,-58.27636408242887
15,-2807.161419900384,0.0212411495210329,446.3115004376974,-55.04238078236047
16,-2545.305437145236,0.0212411495210329,644.1450377687812,-49.9079497479458
17,-1922.5122489012945,0.0212411495210329,884.5264933397644,-37.696318605907734
18,-964.4753480926672,0.0212411495210329,1127.9106673406902,-18.91128133515034
19,113.26074464572116,0.0212411495210329,1651.9580154219643,2.2207989146219838
20,1065.7100473971407,0.0212411495210329,1999.5381494482747,20.89627543915962
21,1995.5966642589729,0.0212411495210329,2329.1876203039196,39.12934635801908
22,4748.200318603469,0.0212411495210329,2610.2917771296575,93.10196703144057
23,7288.949012831431,0.0212411495210329,3129.054735284904,142.92056887904766
24,8058.503686055747,0.0212411495210329,3129.054735284904,158.0098761971715
25,8058.503686055747,0.0212411495210329,3129.054735284904,158.0098761971715
26,8058.503686055747,0.0212411495210329,3129.054735284904,158.0098761971715
27,8058.503686055747,0.0212411495210329,3129.054735284904,158.0098761971715
28,8298.639844340314,0.0212411495210329,3129.054735284904,162.71842832039832
29,9029.608818094532,0.0212411495210329,3129.054735284904,177.0511532959712
30,9743.430507705507,0.0212411495210329,3129.054735284904,191.04765701383346
31,10354.052134515363,0.0212411495210329,3129.054735284904,203.02063008853654
32,10354.052134515363,0.0212411495210329,3129.054735284904,203.02063008853654
33,11041.450270531484,0.021657642648896292,3129.054735284904,212.33558212560547
34,11041.450270531484,0.021657642648896292,3129.054735284904,212.33558212560547
35,11547.298138145561,0.021657642648896292,3129.054735284904,222.0634257335685
36,11547.298138145561,0.021657642648896292,3129.054735284904,222.0634257335685
37,11547.298138145561,0.021657642648896292,3129.054735284904,222.0634257335685
38,11556.69792523982,0.021657642648896292,3129.054735284904,222.24419086999654
39,11729.877274836432,0.021657642648896292,3220.194715779647,225.57456297762369
40,12217.369531437214,0.021657642648896292,3424.745940296166,234.94941406610027
41,14343.131273462363,0.021657642648896292,3424.745940296166,275.8294475665839
42,14410.75297594305,0.021657642648896292,3492.367642776854,277.1298649219817
43,14528.591244203522,0.021657642648896292,3610.2059110373257,279.3959854654523
44,14682.157131259068,0.021657642648896292,3763.771798092872,282.3491756011359
45,14862.398608715384,0.021657642648896292,3944.013275549188,285.8153578599112
46,15603.551524963947,0.021657642648896292,4054.3293437229468,300.06829855699897
47,17010.769215946802,0.021657642648896292,4197.622250799276,327.1301772297462
48,17654.474764824907,0.021657642648896292,4297.145576554164,339.5091300927867
49,17830.896160148022,0.021657642648896292,4337.4690252730625,342.9018492336158
50,17830.896160148022,0.021657642648896292,4337.4690252730625,342.9018492336158
51,18228.14820257802,0.021657642648896292,4337.4690252730625,350.54131158803887
52,18631.400525595585,0.021657642648896292,4337.4690252730625,358.29616395376127
53,19114.57850397334,0.021657642648896292,4337.4690252730625,367.58804815333343
54,19489.976472873528,0.021657642648896292,4337.4690252730625,374.8072398629525
55,19840.31874116554,0.021657642648896292,4337.4690252730625,381.54459117626044
56,20273.074913133143,0.021657642648896292,4337.4690252730625,389.86682525256043
57,20421.565980317762,0.021657642648896292,4337.4690252730625,392.7224226984185
58,20866.01447200066,0.021657642648896292,4337.4690252730625,401.2695090769358
59,21132.626434492977,0.021657642648896292,4337.4690252730625,406.396662201788
60,22421.023486468155,0.022074135776759683,4337.4690252730625,423.0381789899652
61,23121.95589425207,0.022490628904623073,4337.4690252730625,428.1843684120754
62,25856.25103546556,0.023740108288213244,4337.4690252730625,453.61843921869405
63,27100.674876763504,0.024156601416076635,4337.4690252730625,467.2530151166121
64,28457.441614813357,0.024156601416076635,4337.4690252730625,490.6455450829889
65,29111.225465060492,0.024156601416076635,4337.4690252730625,501.9176804320774
66,29386.36606900385,0.024156601416076635,4337.4690252730625,506.6614839483422
67,30130.93339574504,0.024156601416076635,4337.4690252730625,519.4988516507766
68,31123.84237469575,0.024156601416076635,4337.4690252730625,536.6179719775129
69,32049.507252983865,0.024156601416076635,4337.4690252730625,552.5777112583426
70,32341.27993425502,0.024156601416076635,4337.4690252730625,557.6082747285349
71,33056.02661349304,0.024156601416076635,4337.4690252730625,569.931493336087
72,33329.36076966104,0.024156601416076635,4337.4690252730625,574.6441512010524
73,36342.407070175606,0.024156601416076635,4337.4690252730625,626.5932253478553
74,36900.00134419707,0.024156601416076635,4337.4690252730625,636.2069197275357
75,37290.57489609708,0.024156601416076635,4337.4690252730625,642.9409464844324
76,37441.438369830634,0.024156601416076635,4337.4690252730625,645.5420408591489
77,37568.70059526517,0.024156601416076635,4337.4690252730625,647.7362171597442
