Iteration,QD-Score,Coverage,Maximum,Average
38,283109.8337981845,0.00164,6854.8231200850805,1726.279474379174
39,300493.0059068931,0.00242,6854.8231200850805,1241.706635978897
40,310807.84245150664,0.00274,6854.8231200850805,1134.3351914288564
41,320592.57561676024,0.00312,6854.8231200850805,1027.5403064639752
42,326937.04543461325,0.00328,6854.8231200850805,996.7592848616257
43,331829.60441462375,0.0034,6854.8231200850805,975.9694247488934
44,334138.2355829925,0.00349,6854.8231200850805,957.4161478022708
45,341479.1461496684,0.00391,6854.8231200850805,873.3481998712746
46,342374.33163011924,0.00392,6854.8231200850805,873.403907219692
47,344819.3015582201,0.00394,6854.8231200850805,875.1758922797464
48,346781.0941888153,0.00398,6854.8231200850805,871.3092818814454
49,347685.1360102257,0.00399,6854.8231200850805,871.3913183213676
50,347872.07272859087,0.00429,6854.8231200850805,810.8906124209577
51,350970.19828525715,0.00454,6854.8231200850805,773.0621107604783
52,351441.5081936677,0.00455,6854.8231200850805,772.3989191069619
53,355136.56529942993,0.0046,6854.8231200850805,772.0360115204999
54,355327.9324495007,0.0046,6854.8231200850805,772.452027064132
55,355342.6791591483,0.0046,6854.8231200850805,772.4840851285833
56,356894.0708136922,0.00468,6854.8231200850805,762.5941684053251
57,357499.70278877055,0.00469,6854.8231200850805,762.259494219127
58,358057.18949858716,0.00475,6854.8231200850805,753.8046094707098
59,359966.962780573,0.00484,6854.8231200850805,743.7333941747376
60,362899.8733075756,0.00496,6854.8231200850805,731.6529703781766
61,366610.1915007371,0.00514,6854.8231200850805,713.2493998068816
62,370554.9979971915,0.00536,6854.8231200850805,691.3339514872976
63,372903.0992120358,0.00545,6854.8231200850805,684.2258701138272
64,378754.1512236647,0.00578,6854.8231200850805,655.2839986568594
65,379856.44899269234,0.00581,6854.8231200850805,653.7976746862174
66,381037.68364486337,0.00585,6854.8231200850805,651.3464677689972
67,381150.82068540517,0.00587,6854.8231200850805,649.3199670960905
68,383106.09232476755,0.00592,6854.8231200850805,647.1386694675127
69,383568.5978026978,0.00597,6854.8231200850805,642.4934636561102
70,383705.26713288046,0.00597,6854.8231200850805,642.7223905073374
71,383705.26713288046,0.00597,6854.8231200850805,642.7223905073374
72,385609.8316742637,0.00599,6854.8231200850805,643.7559794228108
73,386327.7290394143,0.00599,6854.8231200850805,644.9544725198904
74,398185.60669230967,0.00672,6854.8231200850805,592.5381051968894
75,406589.80013315816,0.00714,6854.8231200850805,569.4535015870563
76,410468.1344539246,0.00774,6854.8231200850805,530.3205871497734
77,412196.8800419801,0.00781,6854.8231200850805,527.7808963405636
78,415781.2647852882,0.00797,6854.8231200850805,521.6828918259575
79,417388.3807056738,0.00802,6854.8231200850805,520.4343899073239
80,419278.7488917295,0.00808,6854.8231200850805,518.909342687784
81,419670.3470349185,0.00809,6854.8231200850805,518.7519740851898
82,419770.9157328435,0.00809,6854.8231200850805,518.8762864435643
83,420316.7070588109,0.00809,6854.8231200850805,519.5509357958108
84,421695.5169705419,0.00827,6854.8231200850805,509.90993587731793
85,421726.83708962833,0.00838,6854.8231200850805,503.2539822071937
86,424616.54055164894,0.00851,6854.8231200850805,498.96185728748407
87,428149.96283675573,0.00872,6854.8231200850805,490.99766380361893
88,434566.1421650631,0.00927,6854.8231200850805,468.787639876012
89,438070.9968103794,0.00928,6854.8231200850805,472.05926380428815
90,439786.2162344194,0.00932,6854.8231200850805,471.8736225691195
91,441588.04416441644,0.00943,6854.8231200850805,468.2800044161362
92,443585.20805707097,0.00965,6854.8231200850805,459.67379073271604
93,459220.4750905384,0.01038,6854.8231200850805,442.4089355400177
94,464117.6876044973,0.01054,6854.8231200850805,440.33936205360277
95,464224.61999243975,0.01055,6854.8231200850805,440.0233364857249
96,465354.10130358447,0.01105,6854.8231200850805,421.13493330641126
97,466397.9289661945,0.01149,6854.8231200850805,405.91638726387686
98,468602.987847645,0.01186,6854.8231200850805,395.1121314061088
99,473349.0227009048,0.01204,6854.8231200850805,393.1470288213495
100,477706.98449430964,0.01244,6854.8231200850805,384.0088299793486
101,483342.3664786963,0.01278,6854.8231200850805,378.2021646938156
102,485929.2745830998,0.01296,6854.8231200850805,374.9454279190585
103,487803.20178975165,0.01304,6854.8231200850805,374.082209961466
104,489210.96570931614,0.01311,6854.8231200850805,373.15863135722054
105,489452.8099056233,0.01315,6854.8231200850805,372.2074600042763
106,490402.3474503,0.01333,6854.8231200850805,367.89373402123033
107,495169.6622708778,0.01357,6854.8231200850805,364.9002669645378
108,498111.6887188607,0.01364,6854.8231200850805,365.18452252115884
109,499031.91119639407,0.01369,6854.8231200850805,364.52294462848363
110,498645.87925589323,0.01395,6854.8231200850805,357.4522431941887
111,498872.1016723863,0.014,6854.8231200850805,356.3372154802759
112,499754.9303457032,0.01403,6854.8231200850805,356.20451200691605
113,503917.7003359099,0.01423,6854.8231200850805,354.12347177505967
114,503762.4013378871,0.01428,6854.8231200850805,352.7747908528621
115,503770.9618020685,0.01428,6854.8231200850805,352.78078557567824
116,505766.930541529,0.01436,6854.8231200850805,352.20538338546584
117,507704.6488713997,0.01447,6854.8231200850805,350.8670690196266
118,507938.8608670352,0.01449,6854.8231200850805,350.54441743756746
119,508035.9757471176,0.01449,6854.8231200850805,350.6114394390045
120,513358.554601084,0.01463,6854.8231200850805,350.8944323999207
121,515147.1097576719,0.01465,6854.8231200850805,351.6362523943153
122,515674.15500310936,0.01466,6854.8231200850805,351.75590382203916
123,516304.47943219566,0.01467,6854.8231200850805,351.9457937506446
124,516394.1875931117,0.01468,6854.8231200850805,351.7671577609753
125,524080.01032613154,0.01491,6854.8231200850805,351.49564743536655
126,524859.2574728326,0.01492,6854.8231200850805,351.7823441506921
127,525724.6305855745,0.01496,6854.8231200850805,351.4202076106782
128,526659.486870753,0.01501,6854.8231200850805,350.8724096407415
129,528960.6053212327,0.01506,6854.8231200850805,351.23546170068573
130,529500.533599755,0.0151,6854.8231200850805,350.66260503295035
131,530678.1401504161,0.01512,6854.8231200850805,350.97760591958735
132,530967.3466395319,0.01513,6854.8231200850805,350.9367790082828
133,531077.906653002,0.01513,6854.8231200850805,351.00985238136286
134,532916.3617924629,0.01514,6854.8231200850805,351.99231294086053
135,533054.8385116806,0.01514,6854.8231200850805,352.0837770882963
136,533081.0310783825,0.01514,6854.8231200850805,352.10107733050364
137,533269.1273655576,0.01516,6854.8231200850805,351.7606381039298
138,551958.376962056,0.01553,6854.8231200850805,355.4142800785937
139,601627.8731704234,0.0173,6854.8231200850805,347.7617763990887
140,649362.7760591289,0.01821,6854.8231200850805,356.5968017897468
141,712271.2709424421,0.01884,6854.8231200850805,378.06330729428987
142,739181.552549594,0.01898,6854.8231200850805,389.4528727869304
143,748535.6883713652,0.01899,6854.8231200850805,394.1736115699659
144,759571.65187782,0.01901,6854.8231200850805,399.5642566427249
145,765990.0815671469,0.01901,6854.8231200850805,402.9406005087569
146,767965.4045556368,0.01901,6854.8231200850805,403.9796972938647
147,775235.7244922463,0.01901,6854.8231200850805,407.8041685913973
148,782356.0252470634,0.01901,6854.8231200850805,411.54972395952836
149,793872.8287682427,0.01902,6854.8231200850805,417.3884483534399
150,806055.6227127309,0.01903,6854.8231200850805,423.57100510390484
151,815459.9462650453,0.01904,6854.8231200850805,428.28778690391033
152,815896.9860293869,0.01904,6854.8231200850805,428.5173245952662
153,816525.4414355328,0.01904,6854.8231200850805,428.8473957119395
154,819383.9162127406,0.01904,6854.8231200850805,430.3486954898848
155,821104.6335284985,0.01904,6854.8231200850805,431.25243357589204
156,830093.1397694779,0.01906,6854.8231200850805,435.5158131004606
157,833943.7088582035,0.01906,6854.8231200850805,437.53604871888956
158,841759.9670862193,0.01906,6854.8231200850805,441.63691872309516
159,841943.404883801,0.01906,6854.8231200850805,441.7331610093395
160,842481.7738870669,0.01906,6854.8231200850805,442.01562113697105
161,843524.9676310328,0.01906,6854.8231200850805,442.56294209393116
162,844166.0667064823,0.01906,6854.8231200850805,442.8993004755941
163,846469.0982998015,0.01906,6854.8231200850805,444.10760666306476
164,848285.3702342499,0.01906,6854.8231200850805,445.06053002846267
165,852336.0604882885,0.01906,6854.8231200850805,447.1857610116939
166,861781.4612948254,0.01906,6854.8231200850805,452.1413752858476
167,862295.3933818622,0.01906,6854.8231200850805,452.4110143661397
168,862608.3882397073,0.01906,6854.8231200850805,452.5752299263942
169,863320.2303875312,0.01906,6854.8231200850805,452.9487042956617
170,863413.0472515167,0.01906,6854.8231200850805,452.99740149607385
