Iteration,QD-Score,Coverage,Maximum,Average
1,-5941.646965720288,0.010828821324448146,-38.62729191724211,-228.52488329693415
2,-4024.59328906639,0.011661807580174927,-9.06227172582876,-143.73547460951391
3,-3759.500421687907,0.013327780091628489,7.4375584130641075,-117.48438817774709
4,-3477.7669190671686,0.014993752603082049,22.484000719618052,-96.60463664075468
5,-3469.4264656255764,0.01665972511453561,33.31929728193209,-86.7356616406394
6,-3300.511432123346,0.01665972511453561,62.10315340394736,-82.51278580308364
7,-3014.521858392602,0.01665972511453561,127.79697460770839,-75.36304645981505
8,-2359.675080650233,0.017076218242399,177.47098543181056,-57.553050747566665
9,-1921.6080025611463,0.01749271137026239,222.15638435898,-45.7525714895511
10,-760.6624027598143,0.01790920449812578,372.9377646972833,-17.689823319995682
11,-598.1708763425198,0.01790920449812578,413.06564924120903,-13.91095061261674
12,-207.20856285949662,0.01790920449812578,468.2367428075289,-4.818803787430154
13,1763.2481370805715,0.018742190753852563,587.8935558925965,39.18329193512381
14,5093.058345935398,0.018742190753852563,754.4441588415299,113.17907435411996
15,8081.056982551399,0.018742190753852563,999.2951414929703,179.57904405669777
16,9782.06066043894,0.018742190753852563,1238.436116120196,217.379125787532
17,12486.039125135067,0.018742190753852563,1586.5187810871284,277.4675361141126
18,12985.530859493781,0.018742190753852563,1701.5169509675238,288.56735243319514
19,14316.436818207309,0.018742190753852563,2112.8024715608453,318.14304040460684
20,18375.789489676612,0.019158683881715953,2221.849989868281,399.47368455818724
21,21178.419350061828,0.019158683881715953,2390.2191397613847,460.400420653518
22,29795.305815486834,0.02040816326530612,2390.2191397613847,608.0674656221803
23,35328.03197782661,0.021657642648896292,2390.2191397613847,679.3852303428195
24,43784.27280947432,0.023323615160349854,2418.5726515331307,781.8620144548986
25,59687.597014123385,0.026239067055393587,2623.5568155467745,947.4221748273553
26,65917.7463378993,0.026655560183256977,2808.644287176244,1029.9647865296765
27,69186.06744487921,0.026655560183256977,3043.556633207295,1081.0323038262377
28,73971.30099117837,0.027488546438983758,3121.562388482783,1120.7772877451268
29,75699.04626712664,0.02790503956684715,3328.478656764142,1129.8365114496514
30,76700.35598039361,0.02790503956684715,3331.5016584564,1144.7814325431882
31,77121.39274082099,0.02790503956684715,3453.236198695004,1151.0655632958355
32,77199.61488744612,0.02790503956684715,3466.1209602095187,1152.233058021584
33,78895.51095972286,0.02790503956684715,3466.1209602095187,1177.544939697356
34,79406.15149831392,0.02790503956684715,3569.7580731513444,1185.166440273342
35,80908.14675931694,0.02790503956684715,3839.063762229681,1207.584279989805
36,81284.11084667908,0.02790503956684715,3882.5084503648804,1213.1956842787922
37,81624.47256192821,0.02790503956684715,4006.4222443184817,1218.2757098795255
38,81691.09561445133,0.02790503956684715,4010.9190054209903,1219.2700837977811
39,81623.52073956643,0.028321532694710536,4021.9901327369735,1200.3458932289182
40,82725.76110330505,0.028321532694710536,4021.9901327369735,1216.5553103427212
41,83695.10536887012,0.028321532694710536,4021.9901327369735,1230.8103730716193
42,83695.10536887012,0.028321532694710536,4021.9901327369735,1230.8103730716193
43,83695.10536887012,0.028321532694710536,4021.9901327369735,1230.8103730716193
44,83695.10536887012,0.028321532694710536,4021.9901327369735,1230.8103730716193
45,83695.10536887012,0.028321532694710536,4021.9901327369735,1230.8103730716193
46,83860.30235567968,0.028321532694710536,4021.9901327369735,1233.2397405247011
47,83963.92031411614,0.028321532694710536,4021.9901327369735,1234.7635340311197
48,83963.92031411614,0.028321532694710536,4021.9901327369735,1234.7635340311197
49,85275.19248299173,0.028738025822573926,4021.9901327369735,1235.872354825967
50,86002.41393674782,0.028738025822573926,4021.9901327369735,1246.411796184751
51,88563.61648724476,0.029571012078300707,4021.9901327369735,1247.3748801020388
52,100192.82967380146,0.03331945022907122,4021.9901327369735,1252.4103709225183
53,100396.91949306436,0.03331945022907122,4021.9901327369735,1254.9614936633045
54,102063.49441047791,0.03373594335693461,4021.9901327369735,1260.0431408700977
55,103729.45357027953,0.034152436484798,4021.9901327369735,1264.993336222921
56,101415.94595116473,0.03581840899625156,4021.9901327369735,1179.2551854786595
57,104878.83432122656,0.036651395251978344,4021.9901327369735,1191.8049354684836
58,106130.52259401896,0.04123281965847563,4021.9901327369735,1072.0254807476663
59,110857.52632902091,0.04164931278633902,4021.9901327369735,1108.575263290209
60,114724.73469555113,0.04206580591420241,4021.9901327369735,1135.8884623321894
61,116008.59225505551,0.04206580591420241,4021.9901327369735,1148.5999233173814
62,117842.4697331194,0.04206580591420241,4021.9901327369735,1166.7571260704892
63,125405.95855369997,0.043315285297792584,4021.9901327369735,1205.8265245548073
64,124659.72686215915,0.044148271553519365,4021.9901327369735,1176.035159076973
65,128195.92820791027,0.044564764681382756,4021.9901327369735,1198.0927869898155
66,128959.22467193849,0.044564764681382756,4021.9901327369735,1205.2263988031634
67,128959.36426367644,0.0470637234485631,4021.9901327369735,1141.2333120679332
68,130264.15543973858,0.04914618908788005,4021.9901327369735,1103.9335206757507
69,133232.43028250634,0.04914618908788005,4021.9901327369735,1129.08839222463
70,141414.5054969503,0.04997917534360683,4021.9901327369735,1178.4542124745858
71,142228.71946603406,0.05164514785506039,4021.9901327369735,1147.005802145436
72,142757.92708985446,0.05206164098292378,4021.9901327369735,1142.0634167188357
73,144175.04320692804,0.05206164098292378,4021.9901327369735,1153.4003456554242
74,145482.29031293895,0.054977092877967516,4021.9901327369735,1102.1385629768101
75,146994.9419421782,0.0558100791336943,4021.9901327369735,1096.9771786729716
